System,Argo
Data_Size,100000
Load_time,154.46
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14
6.08,1.49,1.15,1.19,0.00,0.53,0.48,0.01,0.05,0.16,0.24,0.00,1.20
1.63,1.50,1.17,1.18,0.00,0.53,0.49,0.00,0.05,0.14,0.20,0.00,1.20
1.61,1.49,1.18,1.16,0.00,0.54,0.50,0.00,0.05,0.14,0.20,0.00,1.21
1.61,1.50,1.17,1.18,0.00,0.65,0.53,0.01,0.05,0.14,0.24,0.00,1.24
1.63,1.51,1.21,1.18,0.00,0.54,0.50,0.01,0.05,0.14,0.21,0.00,1.10
1.65,1.52,1.17,1.17,0.00,0.52,0.49,0.00,0.05,0.13,0.20,0.00,1.08
1.62,1.53,1.16,1.17,0.00,0.57,0.50,0.01,0.05,0.13,0.27,0.00,1.11
1.65,1.51,1.19,1.19,0.00,0.55,0.56,0.00,0.05,0.13,0.20,0.00,1.10
1.62,1.49,1.18,1.19,0.00,0.57,0.54,0.00,0.05,0.13,0.20,0.00,1.17
1.64,1.51,1.17,1.20,0.00,0.61,0.54,0.00,0.05,0.13,0.20,0.00,1.18
